CET,Temperatura maksymalnaC,Temperatura średniaC,Temperatura minimalnaC, Mean Wilgotność, Max Ciśnienie na poziomie morzahPa, Mean Ciśnienie na poziomie morzahPa, Min Ciśnienie na poziomie morzahPa, Max Prędkość wiatruKm/h, Mean Prędkość wiatruKm/h, CloudCover
2005-1-1,4,2,1,94,1021,1020,1018,16,11,6
2005-1-2,6,3,2,78,1018,1013,1010,27,16,6
2005-1-3,2,1,0,80,1019,1017,1015,34,26,5
2005-1-4,5,2,0,91,1019,1016,1013,39,29,6
2005-1-5,5,4,3,85,1023,1021,1018,29,23,6
2005-1-6,4,2,1,89,1029,1021,1017,29,19,6
2005-1-7,5,3,1,80,1029,1026,1024,27,16,5
2005-1-8,12,8,4,61,1024,1019,1015,34,19,4
2005-1-9,8,6,3,56,1027,1023,1017,39,24,6
2005-1-10,9,6,2,70,1027,1025,1023,29,14,5
2005-1-11,9,6,3,75,1026,1025,1023,19,11,3
2005-1-12,8,2,-3,82,1026,1023,1021,16,10,3
2005-1-13,6,3,1,88,1021,1021,1020,19,11,6
2005-1-14,2,1,0,89,1024,1023,1021,26,19,6
2005-1-15,2,-1,-3,82,1031,1028,1024,19,14,5
2005-1-16,1,-4,-9,84,1032,1030,1028,13,6,2
2005-1-17,3,-1,-4,65,1028,1024,1019,23,13,0
2005-1-18,3,-1,-4,61,1018,1007,1001,19,11,2
2005-1-19,-1,-3,-4,83,1010,1006,1001,26,13,5
2005-1-20,1,-1,-2,88,1010,999,989,35,19,5
2005-1-21,2,0,-1,84,996,990,985,48,27,6
2005-1-22,0,-1,-1,91,1008,1001,996,34,26,6
2005-1-23,-1,-4,-9,91,1010,1009,1008,26,19,5
2005-1-24,-2,-4,-6,94,1011,1008,1006,11,8,5
2005-1-25,-4,-6,-6,92,1016,1013,1011,19,10,6
2005-1-26,-5,-6,-7,87,1017,1015,1012,34,24,6
2005-1-27,-6,-8,-9,86,1012,1010,1009,27,21,6
2005-1-28,-5,-7,-9,83,1016,1012,1010,14,8,5
2005-1-29,-4,-7,-8,82,1024,1020,1016,14,5,6
2005-1-30,-6,-7,-8,85,1026,1024,1022,16,8,6
2005-1-31,1,-3,-6,91,1020,1010,1004,27,16,6
2005-2-1,0,-2,-3,91,1015,1010,1005,23,14,6
2005-2-2,-1,-2,-2,92,1017,1016,1015,23,16,6
2005-2-3,0,-2,-3,92,1030,1023,1017,19,8,6
2005-2-4,-2,-3,-5,88,1034,1033,1030,14,6,5
2005-2-5,-6,-11,-15,84,1034,1033,1032,19,13,4
2005-2-6,-5,-12,-19,78,1035,1034,1032,11,8,0
2005-2-7,-4,-12,-21,72,1037,1036,1035,11,6,0
2005-2-8,0,-10,-20,67,1037,1036,1035,55,5,0
2005-2-9,-1,-11,-20,66,1036,1034,1033,10,5,1
2005-2-10,2,-6,-12,57,1033,1027,1021,21,10,3
2005-2-11,2,0,-1,90,1021,1019,1018,23,18,5
2005-2-12,4,1,-1,95,1018,1005,990,24,11,6
2005-2-13,4,2,0,77,990,988,987,29,19,5
2005-2-14,1,-2,-4,86,1001,993,989,23,16,6
2005-2-15,-1,-7,-12,90,1004,1003,1001,29,11,5
2005-2-16,0,-1,-2,95,1013,1008,1003,29,19,6
2005-2-17,-1,-2,-3,94,1015,1014,1013,21,14,6
2005-2-18,-1,-3,-5,91,1016,1015,1013,19,16,6
2005-2-19,-2,-4,-7,82,1013,1008,1007,19,8,6
2005-2-20,1,-4,-10,82,1009,1007,1006,10,6,6
2005-2-21,-1,-6,-9,89,1010,1010,1009,23,10,5
2005-2-22,2,0,-2,86,1008,1006,1005,27,19,5
2005-2-23,4,-1,-5,90,1012,1006,1002,23,13,5
2005-2-24,1,-2,-4,96,1012,1010,1008,19,6,6
2005-2-25,1,0,-1,90,1013,1012,1011,14,8,5
2005-2-26,-1,-2,-3,93,1010,1007,1005,16,11,6
2005-2-27,-3,-9,-14,75,1013,1009,1005,27,18,5
2005-2-28,-7,-12,-18,87,1014,1013,1012,23,10,5
2005-3-1,-3,-8,-12,77,1012,1009,1009,23,16,5
2005-3-2,-3,-7,-11,56,1011,1010,1009,23,13,2
2005-3-3,-1,-9,-16,65,1013,1012,1011,13,6,3
2005-3-4,-2,-8,-13,86,1013,1011,1007,8,3,5
2005-3-5,-2,-4,-6,85,1007,1005,1003,14,5,6
2005-3-6,-4,-4,-5,87,1006,1005,1003,26,18,6
2005-3-7,-4,-4,-5,88,1009,1007,1005,34,24,6
2005-3-8,1,-2,-4,89,1012,1009,1007,34,23,6
2005-3-9,-2,-6,-8,84,1020,1016,1012,23,14,5
2005-3-10,-4,-8,-12,78,1025,1022,1019,26,16,6
2005-3-11,0,-3,-7,75,1019,1006,994,37,23,6
2005-3-12,2,0,-1,78,995,993,992,32,23,5
2005-3-13,0,-2,-3,84,1014,1005,995,34,21,5
2005-3-14,4,0,-4,71,1018,1015,1013,26,13,4
2005-3-15,6,0,-6,70,1024,1021,1018,21,6,3
2005-3-16,8,6,3,64,1024,1023,1022,19,14,6
2005-3-17,11,8,6,65,1022,1018,1015,24,19,5
2005-3-18,11,8,5,87,1018,1015,1012,35,24,6
2005-3-19,4,-1,-6,72,1028,1022,1015,34,21,5
2005-3-20,1,-4,-10,67,1028,1026,1024,11,3,2
2005-3-21,2,-4,-10,61,1023,1023,1022,11,5,1
2005-3-22,8,-1,-10,51,1022,1021,1019,10,5,1
2005-3-23,12,3,-4,51,1022,1021,1020,16,8,5
2005-3-24,14,8,3,67,1021,1020,1020,13,5,5
2005-3-25,17,7,-2,71,1020,1018,1015,13,5,1
2005-3-26,14,6,-2,78,1015,1012,1011,13,5,4
2005-3-27,16,10,4,71,1011,1010,1008,24,10,4
2005-3-28,11,6,1,76,1015,1013,1011,14,10,6
2005-3-29,11,4,-2,64,1018,1017,1015,19,10,2
2005-3-30,9,3,-3,58,1024,1021,1019,26,16,1
2005-3-31,7,1,-5,48,1030,1027,1024,34,16,
2005-4-1,10,3,-4,47,1032,1031,1030,21,10,0
2005-4-2,14,3,-7,50,1031,1030,1029,14,5,0
2005-4-3,17,6,-4,46,1030,1029,1027,13,5,0
2005-4-4,18,7,-3,44,1029,1027,1025,11,5,0
2005-4-5,18,8,-1,34,1026,1024,1022,29,11,
2005-4-6,12,9,6,68,1026,1023,1018,23,11,5
2005-4-7,20,13,7,34,1018,1011,1006,34,14,3
2005-4-8,17,12,8,40,1006,1003,1002,19,10,
2005-4-9,13,9,5,86,1012,1006,1001,23,11,7
2005-4-10,8,4,1,78,1025,1019,1012,21,13,6
2005-4-11,12,4,-2,65,1028,1026,1025,14,3,5
2005-4-12,13,6,-1,71,1025,1021,1017,27,6,3
2005-4-13,18,11,5,55,1016,1012,1009,16,6,
2005-4-14,18,11,4,55,1009,1008,1006,19,8,6
2005-4-15,19,11,4,73,1015,1007,1005,19,5,3
2005-4-16,19,11,4,72,1006,1004,1002,14,6,4
2005-4-17,20,12,4,68,1002,999,997,111,10,4
2005-4-18,18,13,8,70,998,996,996,32,16,
2005-4-19,17,12,7,70,1005,1001,998,26,18,5
2005-4-20,9,7,2,65,1010,1006,1005,26,19,6
2005-4-21,7,2,-3,50,1017,1015,1011,23,14,6
2005-4-22,10,1,-8,60,1017,1015,1013,23,5,3
2005-4-23,11,3,-5,60,1016,1015,1014,23,5,2
2005-4-24,14,6,-3,61,1016,1015,1014,13,6,2
2005-4-25,15,8,1,73,1015,1011,1008,32,11,6
2005-4-26,9,7,3,95,1016,1011,1007,24,14,6
2005-4-27,16,7,-2,76,1017,1016,1014,19,5,3
2005-4-28,13,10,7,74,1021,1018,1015,35,21,6
2005-4-29,15,10,4,70,1023,1022,1021,14,10,5
2005-4-30,18,9,0,61,1022,1019,1017,10,3,3
2005-5-1,22,13,5,63,1017,1015,1013,19,8,6
2005-5-2,25,16,7,64,1017,1016,1015,13,5,3
2005-5-3,28,19,10,64,1016,1012,1010,21,11,5
2005-5-4,15,13,12,96,1010,1006,1005,29,13,6
2005-5-5,13,11,10,93,1008,1006,1005,27,19,6
2005-5-6,10,8,6,80,1009,1008,1007,27,18,6
2005-5-7,12,9,6,74,1008,1006,1002,27,14,4
2005-5-8,8,6,4,88,1008,1002,998,37,19,6
2005-5-9,9,6,2,83,1012,1009,1008,32,14,5
2005-5-10,13,8,3,72,1015,1014,1012,23,10,5
2005-5-11,12,7,3,71,1020,1017,1015,24,8,5
2005-5-12,11,7,3,79,1022,1020,1020,27,11,5
2005-5-13,15,8,0,67,1023,1022,1021,14,6,4
2005-5-14,19,9,0,55,1022,1016,1011,21,11,
2005-5-15,18,14,11,64,1012,1011,1010,26,11,6
2005-5-16,19,14,10,58,1015,1014,1012,32,13,5
2005-5-17,18,13,9,78,1017,1011,1007,37,16,5
2005-5-18,9,7,5,92,1018,1016,1014,23,11,6
2005-5-19,13,9,4,70,1025,1023,1018,23,18,6
2005-5-20,17,8,-1,64,1025,1024,1021,19,5,0
2005-5-21,22,11,1,52,1021,1019,1017,19,6,
2005-5-22,26,16,6,55,1017,1015,1014,14,6,1
2005-5-23,27,17,8,64,1016,1014,1012,16,5,3
2005-5-24,16,13,9,88,1026,1021,1014,23,13,6
2005-5-25,21,12,3,58,1028,1027,1026,16,5,1
2005-5-26,23,14,5,63,1027,1025,1023,14,6,
