CEST,Temperatura maksymalnaC,Temperatura średniaC,Temperatura minimalnaC, Mean Wilgotność, Mean Ciśnienie na poziomie morzahPa, Mean Prędkość wiatruKm/h,Opadymm
2012-3-6,1,-4,-9,70,1026,6,0.00
2012-3-7,2,-6,-13,66,1026,5,0.00
2012-3-8,4,-1,-5,68,1020,11,0.00
2012-3-9,2,0,-2,97,1033,10,0.00
2012-3-10,8,3,-2,77,1030,11,0.00
2012-3-11,8,3,-1,70,1020,21,0.00
2012-3-12,6,2,-2,88,1021,11,0.00
2012-3-13,7,6,4,95,1024,13,0.00
2012-3-14,5,4,4,97,1024,19,0.00
2012-3-15,7,2,-3,85,1028,11,0.00
2012-3-16,16,6,-4,70,1023,10,0.00
2012-3-17,20,13,7,47,1019,13,0.00
2012-3-18,19,9,0,59,1015,6,0.00
2012-3-19,9,6,2,70,1022,14,0.00
2012-3-20,12,6,0,57,1032,14,0.00
2012-3-21,12,8,5,70,1032,14,0.00
2012-3-22,11,7,1,83,1032,6,0.00
2012-3-23,17,7,-3,77,1026,3,0.00
2012-3-24,17,7,-2,75,1024,2,0.00
2012-3-25,15,7,-2,66,1024,10,0.00
2012-3-26,10,4,-1,60,1030,13,0.00
2012-3-27,16,8,0,60,1024,16,0.00
2012-3-28,18,10,2,62,1020,14,0.00
2012-3-29,11,6,2,70,1008,27,0.00
2012-3-30,7,3,1,91,1004,18,0.00
2012-3-31,6,2,-1,93,998,29,0.00
2012-4-1,5,2,-1,81,1008,24,0.00
2012-4-2,7,4,2,67,1005,23,0.00
2012-4-3,14,6,-2,72,1008,6,0.00
2012-4-4,19,12,5,67,1006,14,0.00
2012-4-5,7,6,4,91,1014,11,0.00
2012-4-6,4,3,3,94,1009,11,0.00
2012-4-7,10,6,1,86,1000,13,0.00
2012-4-8,1,-1,-4,77,1006,19,0.00
2012-4-9,7,-1,-8,55,1011,5,0.00
2012-4-10,13,6,-1,41,1007,10,0.00
2012-4-11,17,10,4,41,1000,10,0.00
2012-4-12,16,11,6,63,999,8,0.00
2012-4-13,14,8,3,77,1003,14,0.00
2012-4-14,13,9,6,83,1002,14,0.00
2012-4-15,10,9,8,96,999,16,0.00
2012-4-16,9,7,5,93,1004,16,0.00
2012-4-17,9,6,2,60,1011,10,0.00
2012-4-18,14,7,-1,64,1002,13,0.00
2012-4-19,16,8,1,71,996,6,0.00
2012-4-20,18,11,4,63,996,8,0.00
2012-4-21,15,10,4,77,1003,10,0.00
2012-4-22,16,8,1,74,1006,8,0.00
2012-4-23,15,10,4,69,1008,10,0.00
2012-4-24,16,9,2,71,1003,10,0.00
2012-4-25,15,11,7,65,1006,14,0.00
2012-4-26,23,14,5,48,1013,10,0.00
2012-4-27,26,16,5,53,1018,6,0.00
2012-4-28,28,17,7,53,1021,6,0.00
2012-4-29,28,20,12,34,1016,13,0.00
2012-4-30,29,21,13,34,1015,10,0.00
